model,rate_tools_on,rate_tools_off,n_on,n_off,odds_ratio,p_value,cohens_h,significant
anthropic:claude-haiku-4-5-20251001,0.49166666666666664,0.008333333333333333,720,720,115.09836065573771,4.933857297347837e-121,1.3713001716827302,True
anthropic:claude-opus-4-20250514,0.5105853051058531,0.06666666666666667,803,720,14.60559796437659,7.071193985887306e-88,1.069653696945605,True
anthropic:claude-sonnet-4-20250514,0.7122692725298588,0.16944444444444445,921,720,12.133869471079493,1.325626835018432e-112,1.1607508697741318,True
openai:gpt-4o-mini,0.016320474777448073,0.001388888888888889,674,720,11.929110105580694,0.0025210106559389023,0.1816505068325334,True
openai:gpt-5.2,0.20555555555555555,0.001388888888888889,720,720,186.03496503496504,1.0163698982851037e-46,0.8665600854399566,True
