model,rate_zw,rate_tag,n_zw,n_tag,odds_ratio,p_value,cohens_h,significant
anthropic:claude-haiku-4-5-20251001,0.275,0.225,720,720,1.3065134099616857,0.03308490412448823,0.11559889882144736,True
anthropic:claude-opus-4-20250514,0.18181818181818182,0.43333333333333335,803,720,0.2905982905982906,6.496488884371786e-27,-0.5560434113755582,True
anthropic:claude-sonnet-4-20250514,0.4147665580890337,0.55,921,720,0.5798616967448136,5.5057334476922445e-08,-0.27147088980760614,True
openai:gpt-4o-mini,0.015277777777777777,0.001483679525222552,720,674,10.441466854724965,0.006453127147266429,0.17078426080205325,True
openai:gpt-5.2,0.20555555555555555,0.001388888888888889,720,720,186.03496503496504,1.0163698982851037e-46,0.8665600854399566,True
